13:55:37 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782248,\n"message":{"message_id":138,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709737,"text":"\\u0410\\u0430\\u043f\\u043f"}}]}'"
13:55:37 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:37 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿‡ÔÔ'}" and files "None"
13:55:37 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782249, 'timeout': 20}" and files "None"
13:55:37 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":139,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709737,"text":"\\u0410\\u0430\\u043f\\u043f"}}'"
13:55:38 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782249,\n"message":{"message_id":140,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709738,"text":"\\u041f\\u043f\\u043f\\u043f"}}]}'"
13:55:38 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:38 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'œÔÔÔ'}" and files "None"
13:55:38 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":141,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709738,"text":"\\u041f\\u043f\\u043f\\u043f"}}'"
13:55:38 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782250, 'timeout': 20}" and files "None"
13:55:40 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782250,\n"message":{"message_id":142,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709740,"text":"\\u0410\\u0430\\u043f\\u043f\\u043f\\u0430\\u043f\\u043f\\u043f"}}]}'"
13:55:40 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:40 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿‡ÔÔÔ‡ÔÔÔ'}" and files "None"
13:55:40 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782251, 'timeout': 20}" and files "None"
13:55:40 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":143,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709740,"text":"\\u0410\\u0430\\u043f\\u043f\\u043f\\u0430\\u043f\\u043f\\u043f"}}'"
13:56:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:56:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782251, 'timeout': 20}" and files "None"
13:56:13 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782251,\n"message":{"message_id":144,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709773,"text":"\\u0420"}}]}'"
13:56:13 | DEBUG | start_polling: 395 | Received 1 updates.
13:56:13 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '–'}" and files "None"
13:56:13 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":145,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709773,"text":"\\u0420"}}'"
13:56:13 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
13:56:34 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:56:34 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
13:56:54 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:56:54 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
13:57:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:57:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
13:57:34 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:57:34 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
13:57:54 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:57:54 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782252, 'timeout': 20}" and files "None"
